一言千金	yi1yan2qian1jin1
一言半句	yi1yan2ban4ju4
一言半语	yi1yan2ban4yu3
一言半辞	yi1yan2ban4ci2
一言堂	yi1yan2tang2
一言难尽	yi1yan2nan2jin4
一语中人	yi1yu3zhong4ren2
一语中的	yi1yu3zhong4di4
一语双关	yi1yu3shuang1guan1
一语破的	yi1yu3po4di4
一语道破	yi1yu3dao4po4
一误再误	yi1wu4zai4wu4
一诺千金	yi1nuo4qian1jin1
一诺无辞	yi1nuo4wu2ci2
一谦四益	yi1qian1si4yi4
一谷不升	yi1gu3bu4sheng1
一谷不登	yi1gu3bu4deng1
一败如水	yi1bai4ru2shui3
一败涂地	yi1bai4tu2di4
一贫如洗	yi1pin2ru2xi3
一资半级	yi1zi1ban4ji2
一走了之	yi1zou3liao3zhi1
一跌不振	yi1die1bu4zhen4
一路平安	yi1lu4ping2an1
一路神祇	yi1lu4shen2qi2
一路福星	yi1lu4fu2xing1
一路货色	yi1lu4huo4se4
一路顺风	yi1lu4shun4feng1
一路风尘	yi1lu4feng1chen2
一路风清	yi1lu4feng1qing1
一蹴而就	yi1cu4er2jiu4
一蹴而得	yi1cu4er2de2
一蹴而成	yi1cu4er2cheng2
一蹶不兴	yi1jue3bu4xing1
一蹶不振	yi1jue2bu4zhen4
一身两头	yi1shen1liang3tou2
一身两役	yi1shen1liang3yi4
一身二任	yi1shen1er4ren4
一身五心	yi1shen1wu3xin1
一身是胆	yi1shen1shi4dan3
一身而二任	yi1shen1er2er4ren4
一身都是胆	yi1shen1dou1shi4dan3
一轨同风	yi1gui3tong2feng1
一辞同轨	yi1ci2tong2gui3
一辞莫赞	yi1ci2mo4zan4
一迎一和	yi1ying2yi1he2
一还一报	yi1huan2yi1bao4
一退六二五	yi1tui4liu4er4wu3
一通百通	yi1tong1bai3tong1
一重一掩	yi1chong2yi1yan3
一针一线	yi1zhen1yi1xian4
一针见血	yi1zhen1jian4xie3
一钱不值	yi1qian2bu4zhi2
一钱不名	yi1qian2bu4ming2
一钱不落虚空地	yi1qian2bu4luo4xu1kong1di4
一钱如命	yi1qian2ru2ming4
一锅端	yi1guo1duan1
一锤定音	yi1chui2ding4yin1
一长一短	yi1chang2yi1duan3
一长两短	yi1chang2liang3duan3
一长二短	yi1chang2er4duan3
一长半短	yi1chang2ban4duan3
一门同气	yi1men2tong2qi4
一问三不知	yi1wen4san1bu4zhi1
一闻千悟	yi1wen2qian1wu4
一阶半级	yi1jie1ban4ji2
一阶半职	yi1jie1ban4zhi2
一隅三反	yi1yu2san1fan3
一隅之地	yi1yu2zhi1di4
一隅之见	yi1yu2zhi1jian4
一隅之说	yi1yu2zhi1shuo1
一雕双兔	yi1diao1shuang1tu4
一雷二闪	yi1lei2er4shan3
一面之交	yi1mian4zhi1jiao1
一面之款	yi1mian4zhi1kuan3
一面之缘	yi1mian4zhi1yuan2
一面之词	yi1mian4zhi1ci2
一面之雅	yi1mian4zhi1ya3
一面如旧	yi1mian4ru2jiu4
一鞭一条痕	yi1bian1yi1tiao2hen2
一鞭先著	yi1bian1xian1zhuo2
一顾之荣	yi1gu4zhi1rong2
一顾倾城	yi1gu4qing1cheng2
一顾千金	yi1gu4qian1jin1
一颦一笑	yi1pin2yi1xiao4
一风吹	yi1feng1chui1
一飞冲天	yi1fei1chong1tian1
一饥两饱	yi1ji1liang3bao3
一饭三吐哺	yi1fan4san1tu3bu3
一饭之德	yi1fan4zhi1de2
一饭之恩	yi1fan4zhi1en1
一饭千金	yi1fan4qian1jin1
一饮一啄	yi1yin3yi1zhuo2
一馈十起	yi1kui4shi2qi3
一马一鞍	yi1ma3yi1an1
一马不跨两鞍	yi1ma3bu4kua4liang3an1
一马平川	yi1ma3ping2chuan1
一马当先	yi1ma3dang1xian1
一高二低	yi1gao1er4di1
一鳞半爪	yi1lin2ban4zhao3
一鳞半甲	yi1lin2ban4jia3
一鳞片爪	yi1lin2pian4zhao3
一鳞片甲	yi1lin2pian4jia3
一鸣惊人	yi1ming2jing1ren2
一麾出守	yi1hui1chu1shou3
一鼓一板	yi1gu3yi1ban3
一鼓作气	yi1gu3zuo4qi4
一鼻子灰	yi1bi2zi5hui1
一鼻孔出气	yi1bi2kong3chu1qi4
一齐众楚	yi1qi2zhong4chu3
一龙一猪	yi1long2yi1zhu1
一龙一蛇	yi1long2yi1she2
丁一卯二	ding1yi1mao3er4
丁一确二	ding1yi1que4er4
丁丁列列	ding1ding1lie4lie4
丁丁当当	ding1ding1dang1dang1
丁公凿井	ding1gong1zao2jing3
丁嘴铁舌	ding1zui3tie3she2
丁娘十索	ding1niang2shi2suo3
丁宁告戒	ding1ning2gao4jie4
丁宁周至	ding1ning2zhou1zhi4
丁松入梦	ding1song1ru4meng4
丁真楷草	ding1zhen1kai3cao3
丁真永草	ding1zhen1yong3cao3
七七八八	qi1qi1ba1ba1
七上八下	qi1shang4ba1xia4
七上八落	qi1shang4ba1luo4
七事八事	qi1shi4ba1shi4
七倒八歪	qi1dao3ba1wai1
七十二变	qi1shi2er4bian4
七十二行	qi1shi2er4hang2
七口八嘴	qi1kou3ba1zui3
七嘴八张	qi1zui3ba1zhang1
七嘴八舌	qi1zui3ba1she2
七夕乞巧	qi1xi1qi3qiao3
七大八小	qi1da4ba1xiao3
七孔八洞	qi1kong3ba1dong4
七孔生烟	qi1kong3sheng1yan1
七尺之躯	qi1chi3zhi1qu1
七平八稳	qi1ping2ba1wen3
七开八得	qi1kai1ba1de2
七张八嘴	qi1zhang1ba1zui3
七弯八拐	qi1wan1ba1guai3
七情六欲	qi1qing2liu4yu4
七慌八乱	qi1huang1ba1luan4
七手八脚	qi1shou3ba1jiao3
七扭八歪	qi1niu3ba1wai1
七折八扣	qi1zhe2ba1kou4
七担八挪	qi1dan1ba1nuo2
七拉八扯	qi1la1ba1che3
七拱八翘	qi1gong3ba1qiao4
七拼八凑	qi1pin1ba1cou4
七捞八攘	qi1lao1ba1rang3
七损八伤	qi1sun3ba1shang1
七损八益	qi1sun3ba1yi4
七推八阻	qi1tui1ba1zu3
七搭八扯	qi1da1ba1che3
七搭八搭	qi1da1ba1da1
七擒七纵	qi1qin2qi1zong4
七支八搭	qi1zhi1ba1da1
七断八续	qi1duan4ba1xu4
七日来复	qi1ri4lai2fu4
七月流火	qi1yue4liu2huo3
七棱八瓣	qi1leng2ba1ban4
七横八竖	qi1heng2ba1shu4
七次量衣一次裁	qi1ci4liang2yi1yi1ci4cai2
七步之才	qi1bu4zhi1cai2
七步八叉	qi1bu4ba1cha1
七步奇才	qi1bu4qi2cai2
七步成章	qi1bu4cheng2zhang1
七步成诗	qi1bu4cheng2shi1
七歪八扭	qi1wai1ba1niu3
七死七生	qi1si3qi1sheng1
七死八活	qi1si3ba1huo2
七洞八孔	qi1dong4ba1kong3
七湾八扭	qi1wan1ba1niu3
七湾八拐	qi1wan1ba1guai3
七满八平	qi1man3ba1ping2
